"date","SiteName","no2_mor","no2_pick","o3_mor","o3_pick","pm25_mor","pm25_pick","pm10_mor","pm10_pick","temp_mor","temp_pick"
"2021-03-25","Hines_MedicalDistrictDrive","8.329","7.043","29.472","37.912","7.611","5.682","20.163","23.501","12.206","21.573"
"2021-03-26","Hines_MedicalDistrictDrive","15.498","10.222","0.437","51.267","27.566","4.839","55.538","22.458","13.466","27.49"
"2021-03-27","Hines_MedicalDistrictDrive","7.121","5.402","21.224","36.218","27.857","74.004","52.528","84.274","19.1","27.83"
"2021-03-28","Hines_MedicalDistrictDrive","4.016","3.089","37.654","50.412","7.276","4.128","20.324","18.866","16.863","24.048"
"2021-03-29","Hines_MedicalDistrictDrive","17.194","7.932","15.237","51.812","18.159","5.506","40.237","24.322","14.018","25.848"
"2021-03-30","Hines_MedicalDistrictDrive","7.052","6.687","47.399","30.169","8.517","21.055","26.401","36.601","17.048","26.007"
"2021-03-31","Hines_MedicalDistrictDrive","8.123","7.385","36.689","50.495","28.568","5.982","63.151","25.414","17.71","20.24"
"2021-04-01","Hines_MedicalDistrictDrive","14.749","9.845","41.398","57.683","16.358","26.543","37.03","45.647","11.707","22.418"
"2021-04-02","Hines_MedicalDistrictDrive","12.813","7.169","28.628","48.541","37.601","27.288","63.956","50.758","12.747","20.285"
"2021-04-03","Hines_MedicalDistrictDrive","2.74","1.685","38.582","49.172","23.672","12.116","44.234","34.869","15.864","21.389"
"2021-04-04","Hines_MedicalDistrictDrive","1.297","1.87","36.782","50.291","12.404","13.012","31.737","40.815","16.234","23.02"
"2021-04-05","Hines_MedicalDistrictDrive","5.427","5.971","34.732","42.151","16.732","8.49","47.404","31.911","16.534","26.188"
"2021-04-06","Hines_MedicalDistrictDrive","2.777","6.648","31.381","32.974","8.407","15.732","32.35","52.544","18.71","27.798"
"2021-04-07","Hines_MedicalDistrictDrive","7.901","9.953","27.447","51.895","12.43","3.556","45.892","26.472","21.943","26.048"
"2021-04-08","Hines_MedicalDistrictDrive","18.961","10.407","1.472","52.923","12.148","8.838","44.848","38.535","15.94","29.635"
"2021-04-09","Hines_MedicalDistrictDrive","6.562","11.872","33.867","36.951","34.754","127.13","58.08","138.806","21.967","29.141"
"2021-04-10","Hines_MedicalDistrictDrive","7.163","6.992","40.369","49.595","17.544","3.799","54.82","20.393","16.44","25.066"
"2021-04-11","Hines_MedicalDistrictDrive","16.523","8.77","0.267","55.021","27.487","7.352","61.671","41.938","14.401","31.034"
"2021-04-12","Hines_MedicalDistrictDrive","11.968","13.953","36.797","47.081","12.762","40.996","53.562","66.159","20.922","30.773"
"2021-04-13","Hines_MedicalDistrictDrive","6.254","13.202","40.192","51.837","17.391","14.853","39.532","34.588","19.021","29.006"
"2021-04-14","Hines_MedicalDistrictDrive","2.636","2.909","33.98","36.528","16.468","5.256","32.936","17.417","20.356","20.754"
"2021-04-15","Hines_MedicalDistrictDrive","2.678","5.605","32.979","27.686","20.632","9.682","28.364","23.032","15.398","15.463"
"2021-04-16","Hines_MedicalDistrictDrive","4.586","7.143","25.913","22.399","21.476","14.167","29.257","24.52","13.972","16.334"
"2021-04-17","Hines_MedicalDistrictDrive","3.34","4.215","25.398","37.382","4.4","4.928","15.813","16.756","11.309","16.397"
"2021-04-18","Hines_MedicalDistrictDrive","6.857","4.921","27.518","43.828","6.483","3.632","17.064","15.506","11.131","22.268"
"2021-04-19","Hines_MedicalDistrictDrive","16.822","11.061","0.272","54.532","19.127","8.318","52.164","25.838","11.448","25.116"
"2021-04-20","Hines_MedicalDistrictDrive","8.607","4.363","35.147","39.361","9.814","12.183","27.722","30.589","15.353","15.386"
"2021-04-21","Hines_MedicalDistrictDrive","7.331","6.646","35.037","48.273","5.718","7.298","18.126","21.758","6.363","17.552"
"2021-04-22","Hines_MedicalDistrictDrive","6.428","1.012","NaN","41.334","NaN","15.747","NaN","38.399","NaN","18.164"
"2021-04-23","Hines_MedicalDistrictDrive","4.765","8.271","36.308","22.688","46.04","23.355","62.995","40.27","16.723","21.398"
"2021-04-24","Hines_MedicalDistrictDrive","2.982","2.317","41.669","37.458","7.268","12.556","20.948","22.708","14.846","21.621"
"2021-04-25","Hines_MedicalDistrictDrive","8.097","9.246","8.172","48.294","17.722","5.373","27.984","19.109","14.746","29.144"
"2021-04-26","Hines_MedicalDistrictDrive","7.721","11.788","31.273","46.795","5.35","8.109","19.27","26.071","20.372","28.202"
"2021-04-27","Hines_MedicalDistrictDrive","6.358","7.956","40.788","18.642","9.13","24.487","28.36","42.996","20.804","24.323"
"2021-04-28","Hines_MedicalDistrictDrive","11.434","16.359","9.984","12.43","30.884","21.419","49.183","49.735","23.134","27.935"
"2021-04-29","Hines_MedicalDistrictDrive","5.022","4.637","16.461","14.214","42.287","25.09","62.657","34.91","21.472","19.697"
"2021-04-30","Hines_MedicalDistrictDrive","4.526","7.045","27.531","19.951","16.183","17.598","29.008","28.241","20.114","19.66"
"2021-05-01","Hines_MedicalDistrictDrive","5.224","5.043","20.376","25.13","34.388","17.433","40.882","27.613","18.2","22.148"
"2021-05-02","Hines_MedicalDistrictDrive","5.397","7.276","15.377","39.839","44.276","3.856","48.442","16.069","19.23","29.108"
"2021-05-03","Hines_MedicalDistrictDrive","11.363","15.573","NaN","30.973","NaN","57.077","NaN","69.88","NaN","29.91"
"2021-05-04","Hines_MedicalDistrictDrive","4.993","5.042","32.101","41.683","13.353","3.804","26.89","20.868","20.934","25.174"
"2021-05-05","Hines_MedicalDistrictDrive","5.746","9.841","30.288","53.188","3.652","4.123","17.287","19.727","15.084","27.038"
"2021-05-06","Hines_MedicalDistrictDrive","9.307","NaN","34.038","NaN","6.274","NaN","25.082","NaN","18.094","NaN"
"2021-05-07","Hines_MedicalDistrictDrive","15.415","17.833","2.565","55.373","23.595","6.11","57.58","23.653","21.975","32.01"
"2021-05-08","Hines_MedicalDistrictDrive","6.567","7.796","NaN","34.448","NaN","14.976","NaN","36.946","NaN","30.806"
"2021-05-09","Hines_MedicalDistrictDrive","4.002","5.624","21.21","37.408","9.023","10.21","28.767","32.152","24.623","29.262"
"2021-05-10","Hines_MedicalDistrictDrive","2.623","3.518","33.381","14.08","3.279","5.463","15.766","18.372","17.241","15.738"
"2021-05-13","Hines_MedicalDistrictDrive","4.394","5.537","NaN","48.059","NaN","5.036","NaN","18.688","NaN","25.363"
"2021-05-14","Hines_MedicalDistrictDrive","6.58","5.923","31.154","39.41","5.318","5.261","19.343","19.872","18.527","26.378"
"2021-05-15","Hines_MedicalDistrictDrive","6.279","6.822","24.893","46.888","8.097","13.896","21.259","26.507","19.411","27.875"
"2021-05-16","Hines_MedicalDistrictDrive","3.413","4.063","30.934","31.683","9.506","5.048","22.427","18.833","22.289","23.257"
"2021-05-17","Hines_MedicalDistrictDrive","11.228","9.723","23.086","41.968","18.293","3.133","27.609","16.018","21.563","28.133"
"2021-05-18","Hines_MedicalDistrictDrive","10.787","12.862","NaN","39.627","NaN","10.435","NaN","20.802","NaN","21.87"
"2021-05-19","Hines_MedicalDistrictDrive","11.724","11.106","NaN","47.784","NaN","5.269","NaN","19.391","NaN","28.073"
"2021-05-20","Hines_MedicalDistrictDrive","7.797","10.615","32.404","41.249","8.794","10.47","20.144","23.357","22.041","27.881"
"2021-05-21","Hines_MedicalDistrictDrive","4.907","4.23","25.308","38.4","5.469","8.23","19.398","32.236","22.252","30.356"
"2021-05-22","Hines_MedicalDistrictDrive","3.129","3.352","31.55","31.914","6.632","8.864","30.942","31.91","23.718","26.035"
"2021-05-23","Hines_MedicalDistrictDrive","4.024","4.758","33.249","34.023","6.512","7.6","22.13","28.087","21.319","24.968"
"2021-05-24","Hines_MedicalDistrictDrive","7.658","6.9","17.942","29.426","11.123","5.49","33.187","22.627","21.925","23.805"
"2021-05-25","Hines_MedicalDistrictDrive","7.338","17.063","23.732","45.733","11.948","5.417","32.638","25.667","22.417","27.842"
"2021-05-26","Hines_MedicalDistrictDrive","8.083","9.9","18.899","40.503","10.339","11.579","30.259","33.563","23.851","32.991"
"2021-05-27","Hines_MedicalDistrictDrive","6.313","6.666","14.816","28.227","9.101","9.71","27.274","31.289","25.796","31.818"
"2021-05-28","Hines_MedicalDistrictDrive","9.602","19.07","34.616","16.467","5.07","6.167","20.955","24.563","24.149","24.8"
