entryDate,no2_conc,o3_conc,pm25_conc,pm10_conc,temp,RH,dewpoint,SiteName
3/25/21 0:00,0.84,34.11,28.45,62.58,14.59,83.5,11.8,Hines_MedicalDistrictDrive
3/25/21 0:00,1.12,30.74,2.69,5.24,14.55,99.9,14.5,Hines_RecordCrossing
3/25/21 0:00,2.65,32.92,6.97,15.09,14.63,77.5,10.7,Inwood_UTSW
3/25/21 1:00,0,35.45,24.35,55.01,13.61,83.5,10.9,Hines_MedicalDistrictDrive
3/25/21 1:00,0,30.52,2,1.35,13.8,99.9,13.8,Hines_RecordCrossing
3/25/21 1:00,1.7,31.98,4.92,9.93,13.75,76.8,9.7,Inwood_UTSW
3/25/21 2:00,0.17,29.94,19.66,52.45,10.84,83.5,8.2,Hines_MedicalDistrictDrive
3/25/21 2:00,0,26.54,0.86,0.79,12.23,99.9,12.2,Hines_RecordCrossing
3/25/21 2:00,1.6,28.21,3.61,9.63,11.74,79.8,8.4,Inwood_UTSW
3/25/21 3:00,0.63,27.69,10.54,44.7,10.74,83.5,8.1,Hines_MedicalDistrictDrive
3/25/21 3:00,0,26.88,0.5,0.54,11.72,99.9,11.7,Hines_RecordCrossing
3/25/21 3:00,1.06,28.04,2.06,7.07,11.42,79.8,8,Inwood_UTSW
3/25/21 4:00,0.34,29.62,4.75,38.89,10.44,83.5,7.8,Hines_MedicalDistrictDrive
3/25/21 4:00,0,27.71,0.38,0.04,11.32,99.9,11.3,Hines_RecordCrossing
3/25/21 4:00,1.59,28.42,3.12,8.02,11.31,79.8,7.9,Inwood_UTSW
3/25/21 5:00,0.1,31.72,10.02,44.04,10.45,83.5,7.8,Hines_MedicalDistrictDrive
3/25/21 5:00,0,28.91,0.17,0.1,11.28,99.9,11.3,Hines_RecordCrossing
3/25/21 5:00,1.45,30.13,2.82,7.78,11.22,79.8,7.9,Inwood_UTSW
3/25/21 6:00,0.09,31.78,19.28,53.39,10.49,83.5,7.8,Hines_MedicalDistrictDrive
3/25/21 6:00,0.06,28.27,0.61,0.64,11.7,99.9,11.7,Hines_RecordCrossing
3/25/21 6:00,3.38,29.55,3.55,9.49,11.53,79.8,8.1,Inwood_UTSW
3/25/21 7:00,1.1,29.98,22.61,58.47,10.56,83.5,7.9,Hines_MedicalDistrictDrive
3/25/21 7:00,4.51,25.38,0.98,2.2,11.8,99.9,11.8,Hines_RecordCrossing
3/25/21 7:00,10.89,23.03,5.97,15.37,11.53,79.8,8.1,Inwood_UTSW
3/25/21 8:00,5.06,23.96,27.91,62.68,10.58,83.5,7.9,Hines_MedicalDistrictDrive
