"date","SiteName","no2_mor","no2_pick","o3_mor","o3_pick","pm25_mor","pm25_pick","pm10_mor","pm10_pick","temp_mor","temp_pick"
"2021-03-25","Hines_MedicalDistrictDrive","8.737","7.043","22.06","37.912","11.266","5.682","26.087","23.501","11.92","21.573"
"2021-03-26","Hines_MedicalDistrictDrive","16.1","10.222","9.194","51.267","10.629","4.839","30.203","22.458","14.552","27.49"
"2021-03-27","Hines_MedicalDistrictDrive","7.203","5.402","12.698","36.218","77.906","74.004","103.473","84.274","18.359","27.83"
"2021-03-28","Hines_MedicalDistrictDrive","3.068","3.089","30.705","50.412","7.141","4.128","19.42","18.866","14.841","24.048"
"2021-03-29","Hines_MedicalDistrictDrive","34.917","7.932","7.442","51.812","14.379","5.506","42.554","24.322","15.175","25.848"
"2021-03-30","Hines_MedicalDistrictDrive","5.601","6.687","23.499","30.169","12.84","21.055","32.851","36.601","16.483","26.007"
"2021-03-31","Hines_MedicalDistrictDrive","11.171","7.385","37.327","50.495","9.858","5.982","38.568","25.414","14.359","20.24"
"2021-04-01","Hines_MedicalDistrictDrive","29.703","9.845","13.593","57.683","28.865","26.543","60.515","45.647","11.572","22.418"
"2021-04-02","Hines_MedicalDistrictDrive","22.793","7.169","19.668","48.541","44.078","27.288","74.83","50.758","11.582","20.285"
"2021-04-03","Hines_MedicalDistrictDrive","3.991","1.685","41.029","49.172","8.35","12.116","30.314","34.869","14.317","21.389"
"2021-04-04","Hines_MedicalDistrictDrive","0.767","1.87","36.059","50.291","12.073","13.012","29.953","40.815","15.531","23.02"
"2021-04-05","Hines_MedicalDistrictDrive","11.409","5.971","19.098","42.151","33.11","8.49","58.489","31.911","16.473","26.188"
"2021-04-06","Hines_MedicalDistrictDrive","2.584","6.648","23.523","32.974","9.345","15.732","36.558","52.544","19.641","27.798"
"2021-04-07","Hines_MedicalDistrictDrive","6.81","9.953","19.651","51.895","27.678","3.556","60.259","26.472","21.045","26.048"
"2021-04-08","Hines_MedicalDistrictDrive","28.412","10.407","2.174","52.923","13.642","8.838","59.355","38.535","16.375","29.635"
